ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600250.SH,20260331,12.64,14.05,12.63,14.05,12.77,1.28,10.0235,610715.86,823592.414
600250.SH,20260330,12.6,13.23,12.6,12.77,12.91,-0.14,-1.0844,437463.84,561988.143
600250.SH,20260327,12.21,13.0,12.12,12.91,12.47,0.44,3.5285,486238.29,618360.309
600250.SH,20260326,12.06,12.8,12.0,12.47,12.06,0.41,3.3997,520266.0,646793.349
600250.SH,20260325,11.96,12.1,11.75,12.06,11.76,0.3,2.551,285223.0,341747.72
600250.SH,20260324,11.37,12.2,11.31,11.76,11.15,0.61,5.4709,312152.12,365381.626
600250.SH,20260323,11.31,11.73,11.03,11.15,11.6,-0.45,-3.8793,198793.02,226634.212
600250.SH,20260320,11.55,11.83,11.51,11.6,11.5,0.1,0.8696,166661.01,194701.441
600250.SH,20260319,11.6,11.72,11.42,11.5,11.72,-0.22,-1.8771,89580.0,103670.604
600250.SH,20260318,11.56,11.72,11.45,11.72,11.59,0.13,1.1217,88071.1,102267.084
600250.SH,20260317,11.62,11.79,11.55,11.59,11.63,-0.04,-0.3439,100284.0,116991.609
600250.SH,20260316,11.35,11.77,11.35,11.63,11.36,0.27,2.3768,135146.0,156840.908
600250.SH,20260313,11.45,11.58,11.33,11.36,11.5,-0.14,-1.2174,73188.0,83953.179
600250.SH,20260312,11.47,11.58,11.43,11.5,11.52,-0.02,-0.1736,53983.0,62098.216
600250.SH,20260311,11.48,11.6,11.43,11.52,11.5,0.02,0.1739,73445.0,84516.288
600250.SH,20260310,11.24,11.5,11.23,11.5,11.16,0.34,3.0466,83135.0,95020.697
600250.SH,20260309,11.09,11.23,11.03,11.16,11.2,-0.04,-0.3571,63555.0,70787.266
600250.SH,20260306,10.88,11.22,10.86,11.2,10.92,0.28,2.5641,71336.99,79559.396
600250.SH,20260305,10.9,11.07,10.87,10.92,10.74,0.18,1.676,74645.0,81833.869
600250.SH,20260304,10.77,10.85,10.62,10.74,10.78,-0.04,-0.3711,67388.99,72274.453
600250.SH,20260303,10.93,11.12,10.75,10.78,10.95,-0.17,-1.5525,101970.0,111607.681
600250.SH,20260302,11.22,11.27,10.86,10.95,11.44,-0.49,-4.2832,126344.0,139342.098
