ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000001.SH,20260331,3891.8605,3924.067,3948.8107,3891.8605,3923.2869,-31.4264,-0.801,606704983.0,891945339.6
000001.SH,20260330,3923.2869,3884.2769,3924.2893,3872.7756,3913.7238,9.5631,0.2443,595589479.0,839822434.7
000001.SH,20260327,3913.7238,3852.0936,3924.1075,3852.0936,3889.0835,24.6403,0.6336,561342963.0,799696430.9
000001.SH,20260326,3889.0835,3924.9621,3937.1041,3880.5729,3931.8375,-42.754,-1.0874,615973981.0,848361335.1
000001.SH,20260325,3931.8375,3892.269,3933.0613,3891.8159,3881.2797,50.5578,1.3026,688343626.0,967854261.2
000001.SH,20260324,3881.2797,3849.6312,3881.4236,3807.9937,3813.2829,67.9968,1.7832,680622039.0,931418842.7
000001.SH,20260323,3813.2829,3904.9513,3906.622,3794.6844,3957.0527,-143.7698,-3.6333,804738850.0,1086248286.0
000001.SH,20260320,3957.0527,4004.5732,4022.7033,3955.7113,4006.5523,-49.4996,-1.2355,666798387.0,964863108.6
000001.SH,20260319,4006.5523,4028.542,4042.0221,3994.1651,4062.9844,-56.4321,-1.3889,667255422.0,935264956.1
000001.SH,20260318,4062.9844,4053.3052,4065.3734,4023.0295,4049.9073,13.0771,0.3229,623873102.0,876327491.4
000001.SH,20260317,4049.9073,4086.2953,4108.4,4049.5801,4084.7858,-34.8785,-0.8539,678771224.0,951228129.3
000001.SH,20260316,4084.7858,4092.2491,4096.1333,4048.0866,4095.4485,-10.6627,-0.2604,732227098.0,1037223834.0
000001.SH,20260313,4095.4485,4117.5738,4134.0794,4086.8469,4129.1026,-33.6541,-0.815,792054764.0,1063918169.4
000001.SH,20260312,4129.1026,4133.1996,4141.6488,4103.1636,4133.4331,-4.3305,-0.1048,786151182.0,1078215329.8
000001.SH,20260311,4133.4331,4123.6663,4135.8392,4112.7998,4123.138,10.2951,0.2497,707727169.0,1063600874.4
000001.SH,20260310,4123.138,4098.5869,4123.9578,4098.5869,4096.6023,26.5357,0.6477,674922194.0,1036427205.3
000001.SH,20260309,4096.6023,4098.6987,4106.5336,4052.5454,4124.194,-27.5917,-0.669,797803556.0,1194106193.2
000001.SH,20260306,4124.194,4085.8954,4129.4647,4085.8954,4108.567,15.627,0.3804,646765760.0,978805927.1
000001.SH,20260305,4108.567,4109.777,4125.6166,4090.6213,4082.474,26.093,0.6391,689746535.0,1068043734.8
000001.SH,20260304,4082.474,4087.632,4106.0397,4055.4125,4122.676,-40.202,-0.9751,765169531.0,1113081986.1
000001.SH,20260303,4122.676,4189.4079,4197.228,4116.011,4182.5909,-59.9149,-1.4325,921139170.0,1425790202.3
000001.SH,20260302,4182.5909,4151.8011,4188.7702,4131.3676,4162.8815,19.7094,0.4735,861579218.0,1345892469.4
