代码,名称,涨停统计,流通市值,换手率,连板数
600310,广西能源,6/3,9673690765.199999,2.899487018585205,2
600996,贵广网络,1/1,12492934537.08,1.296431541442871,1
000720,新能泰山,4/4,6923488956.21,10.642620086669922,4
000767,晋控电力,2/2,14823334359.24,17.3112735748291,2
603585,苏利股份,1/1,3789959717.9799995,1.7774927616119385,1
002470,金正大,1/1,10152965698.529999,8.44374942779541,1
000822,山东海化,1/1,5773342922.7,8.422403335571289,1
000695,滨海能源,1/1,3169681533.56,13.474344253540039,1
002265,建设工业,4/2,25857001387.210003,2.171051025390625,1
600727,鲁北化工,1/1,4122948453.0,5.668478012084961,1
600227,赤天化,1/1,5455351158.809999,25.070058822631836,1
600844,金煤科技,5/3,4105425863.6600003,11.846728324890137,2
603538,美诺华,11/6,8470554735.12,9.814326286315918,4
002455,百川股份,1/1,7482099890.54,14.67735481262207,1
600513,联环药业,1/1,7310535074.7,9.296667098999023,1
002995,天地在线,1/1,2658666969.2,10.449410438537598,1
600268,国电南自,1/1,15152362281.27,5.267730712890625,1
605388,均瑶健康,1/1,4233412200.0,3.339193820953369,1
603076,乐惠国际,1/1,3394121793.28,5.279626369476318,1
002310,东方新能,10/5,16124350913.279999,13.075237274169922,1
600769,祥龙电业,1/1,5099689920.0,3.314821481704712,1
600666,奥瑞德,8/5,14712097844.8,43.05221176147461,1
603248,锡华科技,1/1,2012730978.72,22.45787239074707,1
001313,粤海饲料,1/1,5285391433.559999,2.611823797225952,1
000890,法尔胜,1/1,5654739300.08,15.770350456237793,1
002042,华孚时尚,1/1,7517011589.099999,4.759020805358887,1
600539,狮头股份,4/3,3268300000.0,10.416532516479492,1
002082,万邦德,4/3,14406706088.88,5.07498836517334,2
002445,中南文化,15/8,10506731520.12,19.661712646484375,1
603387,基蛋生物,1/1,5020819818.3,8.52468204498291,1
300858,科拓生物,1/1,3560513364.88,7.813287258148193,1
002038,双鹭药业,3/2,5631148030.09,6.81654691696167,1
002361,神剑股份,2/2,11036437501.76,33.13972854614258,2
002328,新朋股份,1/1,4081162056.4,10.378978729248047,1
600488,津药药业,1/1,4727869324.4,3.5701072216033936,1
002773,康弘药业,1/1,18990960901.85,1.2098702192306519,1
000553,安道麦A,1/1,14107426307.28,1.1920043230056763,1
002176,江特电机,1/1,17554936703.64,5.552846431732178,1
603127,昭衍新药,1/1,19061875143.36,3.205502510070801,1
002428,云南锗业,6/3,33539909700.0,12.17530345916748,1
002263,大东南,2/2,7644864557.000001,15.978133201599121,2
603978,深圳新星,1/1,5423012541.31,7.546769618988037,1
300461,田中精机,1/1,7994212186.910001,11.107396125793457,1
000546,金圆股份,1/1,4605221411.66,8.46899127960205,1
002192,融捷股份,4/4,20211178884.0,16.256052017211914,4
603399,永杉锂业,1/1,6004046406.280001,9.315773963928223,1
002240,盛新锂能,1/1,38552135330.06,6.105584144592285,1
002756,永兴材料,1/1,31568815355.609997,5.850799083709717,1
002842,翔鹭钨业,1/1,8894156297.17,13.416531562805176,1
603738,泰晶科技,1/1,10106393415.48,10.810711860656738,1
002526,山东矿机,1/1,6482169043.08,6.564291954040527,1
603132,金徽股份,1/1,16361940000.0,1.196094036102295,1
603618,杭电股份,3/2,16786599956.480001,12.209208488464355,1
603115,海星股份,4/2,10505300072.0,8.68595027923584,1
600110,诺德股份,1/1,15026666871.12,10.152776718139648,1
002755,奥赛康,1/1,14284252754.640001,2.8554434776306152,1
002386,天原股份,1/1,8211862628.469999,5.9424147605896,1
301292,海科新源,1/1,8191260019.63,36.196929931640625,1
603324,盛剑科技,1/1,3765829290.0,4.122523307800293,1
600955,维远股份,1/1,9377500000.0,2.1437501907348633,1
603026,石大胜华,6/3,21838990163.899998,13.75806999206543,2
000155,川能动力,1/1,29834080406.72,5.776271343231201,1
003042,中农联合,1/1,2288762437.6499996,10.040691375732422,1
603002,宏昌电子,1/1,11726371783.06,3.6261026859283447,1
600470,六国化工,1/1,3875488000.0,15.883329391479492,1
002460,赣锋锂业,1/1,96510625718.21,10.8317232131958,1
002294,信立泰,1/1,68969327743.68001,1.111802577972412,1
688068,热景生物,1/1,12249500112.199999,5.773037433624268,1
600338,西藏珠峰,1/1,15980393736.640001,11.380900382995605,1
300204,舒泰神,1/1,12593726547.76,12.279586791992188,1
002432,九安医疗,1/1,30092438856.48,11.233092308044434,1
002068,黑猫股份,1/1,6762053553.2,7.19943380355835,1
603090,宏盛股份,1/1,6544000000.0,6.138497829437256,1
600748,上实发展,1/1,9905302730.04,1.9902456998825073,1
600982,宁波能源,4/3,8214562014.75,20.30289077758789,1
001896,豫能控股,1/1,25236423198.199997,14.84229564666748,1
605299,舒华体育,10/5,7877610567.75,15.228316307067871,1
002272,川润股份,1/1,6825463695.68,12.496271133422852,1
